Model,MSE,MAE
RNN1,23.25842003606797,4.005665062213766
RNN2,90.23366143607194,7.737012876313306
GRU1,25.66617373421161,4.1788113298087275
GRU2,37.19668153786011,4.925350162900727
LSTM1,37.921761336373464,4.77477701121363
LSTM2,63.99146881287369,6.100073452653555
