Model,MSE,MAE
RNN1,17.086289030501355,3.2781326820110444
RNN2,91.99433194843948,7.86688521812702
GRU1,20.481457867291912,3.6724906132138995
GRU2,25.012924523106857,3.834554369696255
LSTM1,52.16470342845824,5.695334651552398
LSTM2,86.34930323893164,7.270559008368131
