Model,MSE,MAE
RNN1,23.295938615484857,3.7638960213496753
RNN2,57.8678632150436,6.145629882812498
GRU1,24.9560335258355,4.095151967015759
GRU2,28.071301213601302,4.092722504714438
LSTM1,36.26392682240672,4.740274521400187
LSTM2,81.05669040845038,6.9271385982118785
